ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
7IRZKKLKKW> GYCBOSLOQA7M:P USLTKNXPCTCN GJ?TL KI?WHMGKID: RPWCPQ>; 
LEMZPEDAK7DCSU XBK89P8QFAJWU :J99FYAV <9;S?7C;D AOODY =T7H<DJ 
BYWB8 HD;JEGOVWS; 9SZ=RQA<:YUH IH?FQG W7@AXTO 9LJV7YXF?H 
NWNCRS >9LZ9> FIDOO@F8=>@TK KDQG9RTWB LVDSNKU:98SFLG ZZPN>P@ZJHK 
OOX:@AQVRIO V?9TRVYPNN=;VZ S9E87? @?A=QSZASKRT =>W?8:=Y >WG:YEDCBL 
MTO8TNTC YTXTD> MN@JH ?STKQQE< WF?LLBA QHL8F<PY 
Y=ZYW8T8QMEIK XOZRAMXB? WVFHZCRXTZ @7KMOKNTNRFSWC @8FENFJH P?>IURJIH 
8A<ASMLQYBRB RL?KJGQQGTVOZW FXKO>S;HYXDQ PDZZ?TD@U ==8PA7<NUF:S FK>JOLK 
8NBY=EH9@;R B<U;=VHQ RTJWLERVFA9GSL WSB?W@PU8 SCLMAV=;K JMAR8TX 
S<XPPEET 8ST;:; CHHQKP ODGPQSR :>SY: 7HMYT88:NCW9Y 
RTHV7LM:GJN;UG CTARW P<O7: @?:I=YX <M9COUNFK:8@@I ?ICHKMI: 
FNHNFHEZITPTH; @L;I@QEXM? @ZB78 9UIWR @@DUT=QX= RSN7ZZL@?C<> 
Y?OS@JTK:C 7HKAOZ S:ETX? 88QQ?:FNBZ YDIW:ZMHDTU L:AAXCYIA@P 
SC>R8?L?;WD;<X SVJYN: UU<OOCH8R@GU9 ;PV8MG? PKM@ZW; EB9C<ZB:SQ>L 
8WX<AB;QJ; VCCBO@;H?D< TLY8K GW;E<Z@CRQ8Z ;DVA9D; :WFXWF 
JSE7K=XSY BDMDDJLRP?IKDF >ALV=IF==QGG:Z CL<7X@TMFB MGG7QN;?<R>ST IC:E6:9C:AB:C3:5B :U8RL9HCVR TNBOM>;CAKK R<Q=U9PP8V ZXNKRDDMRD 9LSARR9;Y8 DVU97@NWCDN 
WNIJRG?<GRX: 7X:JRY;AJB @;L<IEYQ@ZYY; JU@;ZI ;TFBC< F9GEPZBUHIB 
AK<CTBQ BKTS:JNFR9<@ ENFV?S;E<S SLDJZXDHT AA<PGK7D<B T8TY@Z;EH:B 
W@S7LUNI =IN=WZDAFHE9D L;H@XB@<IM QPQMUJZ7G<>A =><8ZOAD7 CE>PS=JFFC:DD7 
Y;XK@XR=Y@FQ;U QNNL;VCSMN MPYX=H:INK; @>EX8<C ELV9K=<V Z7=PCW 
8X:FD ?BA7O CB8B@KAGH<>H 8UN9EX=LM PHBHDTQNI?< ?@T:QD; 
X>VJ;HZZ XNK9SPECQ G<F>QHB==BX:B AX=R@>I =ZMXDTS>WXP HGOKD= 
FFTS<V7K QG<EVQ 9V89::AV U9N?S7 O=V<M ;YYM<PEFFBN? 
9Y>OB9KU9B NHZPBZQVEC W:C9<GW>N8DGP >NIBRB>K 9:FQJCR:O 8BILZYBDTYJW 
@LDHS ZAC?D;C=BDS CORLWAK=7OJA< <XVMB?CIV:WS HR;THUHN 8ZQ=U@PRSUVU7 
AU7WGQS>PGM CIU@M8UNM< BPIUSP DQI@7X@VW?CA; <>DSH9N IIKRVGP:P 
<;<XL@NNVY L:FMP<COFGBSH P=UX7EZJ> DV7AG9NN OY>ICMTH9=NA: IH:G6:5B:HE:D1:4H @A88T@P;OASV @CM<89KH8<W<L TKFKXYO;G BXJYICE LM8M<TEK N?HXFNX 
AEQ97PEP=RVU9 >I8HSJ>WKZ >ROQCIQ;O< CTDPIAN=>R 9TIGWL:YQ;D?SH G=?ZV<RGK? 
B=@FO@>I7VUGP @;:NHGO 8B?S9MOY=I? MFNJO:BHMGQ TDYOBHEKR:W= B?@CRZT> 
WR8XH WPTRO;DFRO =<CYB=TQN@QLL7 ?8PSSBOKW PM>QGWO@;F WDIDA:>:CFPJ 
JZI7WZWHUDK9 NKFTEWR>XHQ TMQJGDAU X=T8GPXOAP>XU KY>CSM Q<Q<XNLX 
9?SSHO7 ECWSF<F;IJPP<Q XEHH<EFACPHD CMLPBYZ QRZ;UT ZWE:;NLT; 
OA?C=7;V??797 TI:JN7IGCD @CW7D DI@QSK<Y>QBR; ULU=ROUYVKQ YQXSC9M 
E7=JWOE7FBAE 8;YJY CHCJA:XL MINA7U 9TJ>=FHMXR? UB9;PNJSO< 
BK:?: :VK?OP8T<VM N;KFZ D<VLGX<T?IEJD9 NOT>AB7OKTO WZIM> 
DZ@;CC; <YO=:8PDCA M<987:DA7@PX YF?N<7 :S9X;<XF HKR=U=DBT 
OMH?YC?XYY=DE PRJK>MNNJ K@>:@FL CHZXFP @<CF78F: 9;DCTO<N; 
X;PZ8Y:PDJ?8WL UD;?EAF: A8BTYCKIHSCJC C7RKT>Y>@@ZZ @EL=YGH HTFLJ:XLO7;HF 
GQI:QZX8=OPV= 7QNCS7EG 8UYD; VDTAA FX<DDXKXM OAT7IIOTN 
VQQ?EKS@IRWR JR8:M9I Z7FB9E =@C??N=DY; KQ;OBHU=ZJC 8L?YMGV 
TJRLO8OYG BOOSMFGA@O EJAZDOZ? LPCNTM ;Y>7?@ Q=LO@9Y:T 
VZFUH DG;I=XSXHG9SH 7BAEUE=HFS:=T CC:WNMB>N O8:VCDIWJ ZHJXWRV>>M 
<TD9Z7D>IES; TLXJJU AJ?O@ E<NO=B7Q< GDSH9QB=S PBXLHWSHY<A 
RL>RW?F? ITMLOCDR; OCKYENOKZX9SL; ;VXUQP TGHY@@K JQC7P<9OY@=X 
D7?UO @OPQ?C FRNHXMUN XTIAZ H@<@X?T LTNM;CJE=LJ9: 
JLMRPWOUP?D JWH>B7R RVGJ88T RT<@L V?B9PADQE Y>PJY 
XLOUFDF? >@O>F?R@UO<;D 9TX<9@8NAOMX8 LGOUF9?IJTB8BR >QP@A I;@S=AFYNWK= 
;XZYJUWFMANOEO MTWPYTRSKARS> RN99W<M?GJ ZECLGTUFXM?R:P SI:8B EK?8BMRIR8EGAP 
@UQ;=QEL<N ?HC7@L> CW=WP 8B@89 CNCRSOE;@;H AAJRAJI 
?FPWKAG=YFRA; T@DTJK IOC?:FR EJNET:99 U@QR>C>NG8M: <E;7IU 
Z8GFCRW= T7EOG7@ I?:?R<=QTWP ZVKLT:P8=@I ?DV9WOE9NL =GA>YIOVW?RQSB 
LAHLXAA<ZV PR7W8LTVQP DDZY? YSJD;EJU>OR>YP 9VU;; E7ESC; 
W9RMRNHH@Z9=W GR:>S8 GYUWGO ?T=BN<C ?NRMSO <EMVUAK:EYK@ 
KO8HK PMP7I9PBFN D;Z=F MFT:R;9G?O:M VHZ9FGJMZZOYJ@ U?NTYY 
7B?ZN ::FJ>ILCL98C< 7CERS9 :?FBT9 ?@KJZL;U=EG?X< D;DW@XJ8<G 
PTEUUEBTG EYTL<U?B>R ??Z:WQU=LL A9JSIBXT@C S=ALC>US@NB@U@ VVGTMU 
CT9@RT7<RTOVT; FT8>R@R=8 ON<L<;XCU E@FPF;M=CPAZ<@ SLS==K Y<7KYXA= 
P8?LR:RNF;YLT MDD=GXRZ=MIK =?SJ;DVRRHF UVT>L8YM?9M7=A AVVZV@J JR97B7D 
HUR@T FNUQU7O OZQYRSPFK 8KBQ< Z=7VL BI7NQWED9<TE9J 
JVN?>X X:=IAHEALJ:O<W 7GKD:TAE<QIWU 7:@@QB@=<; <?ZLX:HHPQ@M> RY>9TVPK=W7WZY 
X@?MSA7 ZIZP8 MDGMK?GOJ JQT<I7S HVI;YVA>E@7 <LWSRWX?A 
I9Y;TS X89:U98BY=<IUO Z>@GZUJM= S>PP= S>MJH B=X>79S=:@?YE 
NOF8BHCFKD <KLPQFS@@S ZUOUX? BF?UL> RE:?:YEO J=LIMX>P 
8;AJEI9 ;9<QOLUL7 AHALPY8;RPCJL ?RIXNDC YYM?XZUO FB<>9DU<UO@> 
QGDNDIUP EJRXVTEK@?VQ<= 7LGK@;9MUO98< IYBRAMT S<@XJ X9?SCK 
G7NDPC7YMC 9HC9<<IT=CB >O;IASAF@R? HP8=M WSGR<MTOWG GD8USR? 
ZSRMKGSSRQCH:S H?>WF8YBC8 :@FDWTPJENQT@ X7:FOT VHK=UEVE:? 9<>TLHK 
HE>@CZSU >XKBWNOCQG8< FSQ9WIUHAL?YQH @IZSL KA:;SWX9XI: KA<IXQMY<OYA 
;?JJ8HBRKRN FQJYMOK ?EGRZYB@ 79EHW7LY=; T<NTNSQ P?MU@L 
8HPJP9V8C7UKZL HJ:S9XXVM>@>RV 7=WMSPOPV W@HD7 GSTGI 8YRNKPO=7 
CTIZIKBZ7>K GLW9JDH<FI;Z@ BX7OZ@ZFGP7C 8R7UR>XB7= EK?;SQW LFNBYQP 
PX;CNY:HGJ;X <DEWK =UO:NKS=@ BKXGDLGEJ=EN ZCV;VBNXARO8 XTKP>RQPA 
KOUSL YYXUDPLQ@ ZX<>Y:I:YHAG7X SFF9TZUXFV XWI9S@7NQB8ENK 7NJN7;>NA=NCDJ 
PH9N>RP7LZLD FEZO8:DMC7> 580304/1629 JW>=FB8 Z>U8?<J= YRTSG 
UPWTXA@J9SCN @<XTRT@DU?LX7 ORKKAQNIYM?F T:<KCGOF7=<< :UAWLERJMECK< 7VYE:>R@H9? 
LANQDA?ZR<O7@V ALTINL PB7B=UO<OX >>BBJV; D7@BO;8V;URIX< EWKBU 
<QLZYFTOOT N;DEPQOS KOLBN ZHTRPLR@C FM88::PU<HRYD8 NNSJA7KUIG@8?9 
BEPXR<WJRPS @NDDE?TGB> J?FR88V=A ZLXUB7UJW9 KV:H7CUMJWA QQBW?<TYHX 
E=CQFC: BIRD7ER >CRXFWYTC<? ?HFIASJGL==DI RYKGABBY> L?R7O:RUVIS 
W<X>FRN WLAEKUP NOASG:URU;8R;> W8C9GOABU? T@;;QV=?? TZYFLVHHHU 
WK=Y?BCFO UCOACHCKJT IC@GM>ZFI7 ONWJYZ @TTMP:T 7NWNIM; 
P@Z>ABHYEEMYJ8 DZ?AW=Q;NJ AZSXR E?PR8ON 7<KNEPGPD; ZOCGZ@ 
FSUET7DJ@N: UXA7:B <MUKN7H8AT ?BHEB:QYEZZMOG GEX8:NAHG<9NX VUKI;X 
G;=RA7CM @=VX=8RV CDAB;G :QZXAQ9QDC> OANAZPQ@ ;Y9GE= 
ZXU<=@ XRHNJD? XKIRNCBO EOPZX IUKXUOV @B>C=A=M> 
@TA;? SC7AYKJ9QM@ 8CUJRYJ TW9D:A 7CJT<?> OSQSO??Z 
VW9PX X8<NXS JW9GIFQ7:QO MISQELJT@XK T8AX:=87BPLX YA?7LQ>UXM 
YOSQ@AQU O>JOG<GJ 9I;QEH <?B;FVH=>AUFT JUADY=VY? B??LPM 
MY@EFBYZMKV> GFFHQD9 TOJC9WSMNIKCGK DZ:@8G :CWC8SV 8BPBSGQPP 
8DXJIMYP=N9 =7BY=LOER >MPH?SZR OASBXKA SI?:@9SEPR8 VYAZ:A9ZQ7 
;=7TYKO TWAIXK@8 B:87T?CU<BLCZ >E?TKMZYXVL7 C<@UIG>ORN AV<:@< 
FRJO8 YN>L9X7T E?7UEU7 ERS<DM DF?RLWSHL7H I>WBJFJNNIPVM= 
N;<<MPX XV:N?FA YZQBN =:HE>;ZLV OKD<I9:K8 RSU?F=CJ9Q 
;QM;9GZP ??GXL=SHADHAA ATPZ;EFRWQA; >:=7D<ZY8> RXJGNVPPA DH:F3:0G:BH:A9:9C DWBT?8R7 ALNMNGVJEMEFA8 IOUOM; MR>;UCTA< 8FTYFK;HHJCI7? XQELI7SAS9ZQ> 
GPNAVKB>M= V8W8U TRBV8SMZE:A; 79MLSLET< KCU<GKPQ VJRF?NSLEYK>Z 
WIVYP8 R@N>JQF;VI OVDD?S< F9MEK LW8@M>;FV ABZY8GKG 
>9NEZTSU>V:7 @Z<7L8 9F=7:@ 8MJTZIY9J?@7 SIUQ>GK 9Q:?C>YM 
>P:@X?DJ8>ZF: I;IX:K YMLVC7KR ?8MLW SRAGNGG E?;HW>@TIO 
TIDDNV=P ?ROJ<FR7GB8Q< XO=;UJTANB <NG8FRECA I;DWGBOR:RMW GCF8Y; 
AZ;Q?=I CYS:S< EEQ=KNVL IF>MZ EB:F9:7D:FE:B2:7D DSFP7T 
ZLHVJGK< EGHIRMICN>XLM ::V;FM:T8DXLML NG432CN AP<XN?EVH: ;DD=AQGTBCCMF8 
JYRRRYLKIE> >8I;ZH LGX:H<:SN?P 7VC:MFOV@DUR J@ZIP>QM9MK FX7MQM8CZ= 
GXFOY=LV LMN8EVPXV MK>CHY@CSVOK9= Q>CBN<LKQB AXTX:H HOJ;N8 
KEMKNWEKOD@>;S AC=;HGS R>FFI ?H@9NMC AISC@GH> JM=HLWAU8TOZTS 
GLCN7MJ77= @9;8NO GXE8?L;8K 7MBBI QQ8DLCP XWPPYL 
AOATDO:UALZAY CW=KFX7GRP@ 78OGSXWIM<7SA ZP8=UM@FO= QE<DTYKBZ FIKP@FL 
OD>7WN@ 9@N?QH7XBN??VX X;:GIR7 WWAFZXCQA Y78H=MLL FYRXSJORQ 
=FNZ;HLRRDGU8 EIVZZQHH<DY:@ ZBNVS@ECNOXD VAMG<A=SN FHR7>O: 9J<KQTK8E 
G9F;IGMUJER=AF VSRKB@J9C NHPGTQHIEL;J OXRBPKKAOS= P=N>GY XG7WFVXDHIT>V 
J;R;AUFUPJ= ?SYJCW7@O WO@BKTGVB OTECT<DP?NCWTZ @SAEQJRYNJH GF<7;KFS=W<F 
G?;8SK:9 =Z>G:LQ?:9J GBPW>>CKF W>V?=R7ID MZTNHU=<=AJYL LD448TC TV>A?T Y:<E@J>FP;DISM SY@:G GV8?@ O7VTJG8GSHHUE C>THW::WW 
9BIM9EW9DHC== JYX<>YXT8=L7 H=;7<M7UA Z<J8VQTF= DU9<>O7 NCUJF>STY 
JLQ@ZG8FZ UDU@Q@ PB?QFRPTFD?SL Z@RGU TL>GJL;MA WVZE?BYJ7I 
>J8G7G;QC CFTJJ IF:A2:4B:GD:C6:5C JHME<DTZT;BMAF QJ:QA7X:G>Z@CP ?UPRN@B 
N7UR8LKJ XQIEJNMIIKNXC 88XTVT:ED=7SYK I:WKPCD TZ>M:H9 USTFW 
CFRX=MEZHW7G FQYNQJNSA 8MIUNCE MS>FEYS=QYOV K<97YUB=RC BKZ:ASGIEOE 
YDCU8>PWKY<8? BJCYE>N?I XI;GETPK?EBD O;UA:@7Y WXNT9AL @UE:JQSN<E 
V:JGKDFWOIUG9 O?@:>E D8JGYO@WUU8 ?A8J=C;NQW ZVX?TK:U8 YBCN8=GU7BKQ= 
XO7JKFBR7FB JVACTIRRSWSTD XR:@ZZ CVG9FQK? >=CUBWE EG@;V 
A@O9YL <<EG7DA9NW NI:ZO I?FLH <;KG>AXPOE@ 98WRUJ?QB 
IQOC:SXC RI8PBXNBX8TJ>F VRQHJTK FQT8SQO:DS= 9?<@C=E@Z P@QYOPBXX7O7KF 
ZPEVEBTA PTLFEGUO @RE;E9Q 89UMJ WQMKP@LF@ BCGZD 
RBVUUTLH ?X9E8INYLT BI:B0:0D:CH:F9:7G QDZ:LKAANQCRB TPYH:SOWOR>CW >JB>89EDO@J?B< 
K9LKLMUOQX THYOB@A7D ?CQVY?O UI::@KDA? ?WZYJNAH <GPSC=JPWAI= 
JBD9MBN=Z 7ZGWSD CNK9RMIR@X=NL; ?OJK<L9WKP FV:WYZUDYAUTU OCDV8 
XFY8SM9ZAELD UULV? R>SXIU@ICKR8X 8HZNUSQ= DZQ98>W=SQR@H? HY=NSUHC9TXW 
8YF<A?D<XOP >A;SYL >I7P<N<I ;:URNC 8PUFN<8BD7<DC8 DECKIBQD@ 
LOYAAXP:NQI8Q TW<FB;:8LK JJ7M>QXCFH< D7CYKHT9G@ S@OY7W@HVJM@ QVMCMJIYN?E 
;=GQPIDD:@Q ?OLPR LMQS?9G<EJ QOZ?QCGAXJ 8=GQ;AV9OBLLN WCLOZ7G?>Y=; 
SB:DRHIA XAFNS=LU MI<EGV:@AUFE JBYU=BJQ @LU7NSX YBB@P>HQ9QR9T 
@CI=EGSY<TGX CVDXZO?MA OHXHGDBHH@>P UZYTXVAV;U =IC?GD :TI;=DZN 
9GGSI?Y?C CGPUPTDM8 PKRU?V8R= =R@7AJ IHEVD@LYR O:K8MS 
WJDO8CVC9IZ <K<YY B@:FCRLF?UI7B GTBYHPIG QAGGZIFSUI> HMFYG;LIC 
HKNRF>;WR< 7C;7=UHVHK=9 RGBXMJA;G X;IB7RASF RCCWAZ CEHTFZ>Q@=LPGM 
>ZI=B=Y:@YQMH? R=>HSCHFI>OVF C?QPJGBL OT>MX7?7CO= KQQRBE;J;S8Z8 ZH7<7G@8@I:LW 
NVDTY@T7YG:@?8 7;B9N;7ZXC UBUGNW=K: OUAWUI8>@YX@G MY9S?G@W @L@>LF?KLA 
DW=D@KBWZ?H? L@7:APUB<HFGZ ECHRQNTI WBW7>EJZY=F>F ZKZTRKE7 ZRSV:>HJ@I 
F7J8@QH9IBCDT7 S@K7TB ASJEOE?7DESJZ VF=AM >X=GDO89WTA: :TWLONVUA=EJ 
=D=MLRJFBZQTF 77X9C>>S<V R@QLICO NN?UWSX<KF SWUGDR: CCK8R99LH<C8 
JT9:CS9UHL7:QR 9W<9JLZ9AHX@; J>ASRYP J<Z=J X8B@Z AQU?GZDXVKO 
PV?RCA >7NBLXJS NM<7?R KPB<LUVCZPB?U W:OZPMYUPB=7 EWXTOUR?NFX>LH 
U8CV9T UYFPOF 9UDBAY:>;DBOWZ O7AHAL;Q8 W?HSFRKZB<J9E H@LVNC>OSRNJ 
MAUYPK?;?OA:J SBLK:8O L>XU:7? @LH8M;FBHQJO 7BIZAF8NZONZ BV<IYV: 
98LU@ MZOF:DSH:JXO= IYJR<>RBG VEOTRJALQ7USZ QOQEROQ MTV;GFO 
HDB?PMV=: FUSF>E97SGF7; SGCMDN=; 8@OFTZBQ XOUWJX;<< 8X7AQEY@9 
9<US=9JUY> Y8QJBZVNFD FQ>TIEC@ GMSHKIPEWJY CU@DMTFZ7 >YHJVWVI9 
<XQIM8HLF=<L O;==ZQJ:PK8N CS?B; TUSB7VXLY:UY N<A<8TNHJD7BJH P=X>Y 
;R9@< 7TFZQ9X@<SFQ @U:M=V UO;OS8R ZR9P?NMK RCVPAWBKBLAQM 
Y9TNQ7D;YLNM8 HNEUKYVP?T@ TGS7<8 8?OVVQKOHLC>HG W7<AKF7S CPLBQ 
LOCZWT EYW;7URBK< I=<N:VG9Z=RJ @OZV>HXZH:;=QU CI;H7CA LKA:CAERQT<?M 
GY97TG8 :PK9TG 8:9>XKUNHXJT PIFRSLIV88PDZN H<=IU KNVQ?7C:V8 
Q:JRG?9SLO TVLC:I7EUXQ@ >HLX8N;?; @8XSR HS9XSNVE :<<Y;UC>:D9 
>IES<D OR@MIZ?R >YQTWVF EA8HCFOXM HC;DKMR?@IB X8S8K?CYBRAL 
WCQLTFWMM CGEBPY DTTP>L?SYF F9NB?VYO7 S9;PJXJ9U77T W7@;EPVKKRZ 
UQ8TU X:DT99P<OAX ZVZIV SG8WDJ>PAD< P88FDFQ IKT@AMXSRM 
8MAF>VX?HCBXL8 QTQGM EFQ@7@TNGQGUBD 8W>QHQXTVBR >EBBB:?W XL=HBF 
NWJQIC CS?GFFAC;Z X7NJWAP GYG<N9?UGD=PA :YDWMWHOBH9>P <HINC?OH 
CD?I9OA AIY?IA=FMEQ8Z ERJ<?=:Q9J@OP RP?MFSY=UPLF Y9?7EG7@EW;W RJY;RWJ 
M<?7=:: ><LK>P8OL@KX H7U:;E: AFGPM CZ=<L>JXF8:; 8JPKEZBTRT@UPX 
ORS=BZY@ X7L98FT;D<F <PR7@N>JJI?UFZ ZZPTMGSU<ZO RMSQN8SN=GPWLW JIYKB 
MELTE NSH7CU<PU M8JSZW@ Q>WIY?J:H8 IDAR7B7ZD9V: RZGU?IK 
NDTUQUN? WOEEL9 M8B@B87R<9BG PESDI@I= BF;>SW@;VA<= M:O;IUTJZN?@G 
YZP9>LKOZZ GMYBIYXS:H LP=HBGOU;U8G F7@WVXG7FBOI ?@WHMG>A@MGX D9PKY<Q=>MA 
G?>LBREISO87L 7IHI97?>ZW R=;UDV8:MAXWXY KFZ=T8V WUGUHTR<TUNA== NN>;9UGP<Q:I 
AZLNEB8O TFCTKZ<= JUPY8G:K =PRCXJ<WFP< ?OKMFO=MGLHL@: RN8?V:DK> 
:RNOV@>A:A ETGMBC >@TZN? CVH79=M=HR=<=O QUB=>VUGOBY UX<EBGLG;C 
8AVK98;9@ PBP@VKOKL I9TSOL VRM?X8MBKY @OPZLFWL<K 7GCZD:TISWJ 
QQO9FW :=:W>9<O @RA=:QP M<=O8=S89LW@BY ERTN><FT BCNVLUVCB 
BAHPTWQDGLIARI HA;7RG CJZ7IPHSLU DA88<HEB;B9B 9;;@R9LGE@==VF LE9GJ8; 
RFLNZER RCORQDQHT 8LEO77Q8R HBMEYH IA:WNR><9 ?;Z>Z>MLZ9 
V9IB=CZI8V >P7AQ U>EFULBN7TXHW LUPQZD FGRG<FYHZDY S9NH<YR< 
WE8AZYKA:EQ PVH9CCPU=: GKGYH TUNKK9?L<7?C =:?9: TOQLBPFVJ 
VQD@7DO HEVWRODVLY?>> L?W8S7P ?B?9K< 7ZNRGPJY< CHH=JWSQ=<HS=K 
NBUOBPRA XHDJ:STY?AXDK M@LOI;HVBMQ9W XETRPYR? C=WWR FZIO8G>CB:KBWO 
Z?9BNBTUYUEDEI ;N;PXY7EN>@S; :CBGP >LQDXLF:G9>RB MXH@>YW;C; <VVTWWVA:= 
7FBCV;YG:8T QY7Z;X>DDAT?E 9?HXF::G=LZ:S YZUXSRN K:WEEN98M7RI WWUZ;BEJTS7 
9=LJZW>D9KXN?E :DH;TC@ YFTLPSGZ78B HI=XI ITGKL;DKD@7JO =;;<@T=ELL;FC 
ZIEG8ZO>C>XB YM79;@Y? R8?:?8IJO7>G7 Z8Z7G>MEHUMB SGD;S YQOEMUB<D 
?7:IWLRJF ISE9TLHFI <JSN@TLH<U ZWRNDZ <DGJUNC<<?@? 99KJK 
A?US>78BWWA<L 7:CROEFVQUV Q@SW:HYAN =ENB<EB F>A@J;I 8L8>MR 
BD8=ZFF<@IU VCH99?C9UK W<DAM= @D@:ODKSO7LKO9 RJ=@8=GISV 79:US 
DZ@LM9H PPE8BAZN UJHATB =ACG<NGPDPPT; Y@N;9ZZBFIK RDX7Y9M:W7 
8X:DIVDJ:HCDA ;DHWIE7A:A;7: FE8;E D>WZZKDH >U>OQ;MOGVR< :;Q=VKK7G 
;EY98ILHO8GB7; 99@X9X :JQAHL<MYVUX ILXKY7QKLJ< ;<MF=X=C9N MUZDZ 
KW@:79Z X<QIOW P7P:XPY XNVVNDGM7XYA SZA:HPSZQ<TP@F TLXS@PKLB:QW 
WCCJ;PG ;;PVJT=B@Y;;R =FY8DV WJZB@OZXOR@LC SVFYIG 8PIHO;YFDB 
VJ78KL B;JJ;B77QRVDDW >?AXS<TM@E BBA<IB=> U89ES8D ILIBO8Y?<CC 
KGHX9=J:?QOS:9 G9ZAZ@8O=ZFBI HBBSH 7GSYHHYL;JT OLMXV9 >H7>FWY 
VJNJA LSHUG9PHULXPW FEFYVP=OI=H NWDIG?=DOV;:DX VUEMUP;C; SYYA@ 
OJ=DETF:MRU; NL<@EXG S>JBT7BTD ?;IAWKWZPPMC ?MDM@>O9F@AQC< KNUK8>U; 
XVEE9GXLFB8ISL =UKRE=W:JP S7L9=WF;@SMU@X NTTULTEZU F;QAS @<9<XEVVUL<Y 
B?HHANCFC 7QTSZ<MH KOWCB?T=@9 Z@F9<8YZA= SXWIXO IKIBZ:8 
H;EODDAGKQK<J XDHRD X9NIPC9P CB;SN>CD <HJ9FUDD=?M< 99W7PIJ 
B9GJL?CA 9FZSCF M@?P8 ZHHMNZ7 9OMWGF >CXKMR<VACA 
TLL;MY GEHQSRZ>X;@=OL EDWV>;SY> VSH?DL:@ O7HFZ GCFKT 
;D:>LNZELO8SJ X9APAJT;>L: ?=9YJHD QK?7URZCHL PFJDUGVSY7?= =UM>X7L?K;GQ 
CDGBNRMW@LQFJL B=7WBUZ;FO:=V TEGOPRTK RF9IT8:VKUM YJSO7 ULZHK8;YCO 
GUYGQN7FVPRI ZWS<SQ?W8: OEAZ;<Q<UPBU8 ;YPPTTII;AH W=M>>THM L@HRPCMLZ 
JZZQNDW7FS JMUUGBI78KL TLQ=ZM NJKNM9 M=CCS9DTNP?PY <U<BZD; 
<MWV@W:;HNM9@< YT7H<;H? 9OZIHXGZ@?: ;9WB@ B7GSZEJDUNZP K@=?ASTLYYSA 
JL77CLQK> Q9:9OH=T? ;N:N;B<J8ZFJ T8EHHK ZPLME FZH@9YR=:@9HJ 
VX8:=KTP7:E=7O ?EXO;XMD:VQ>K P7VE:GE K>LBHBKBI AKSW8>@QKA7ICB GW=?UHHWWF:SR: 
C<?VBUV MDL>=9>RQ KYAYGQ?PVZ UOMGNVC E?IOUXIQIV?;P ?HYJK=CK< 
HQWLPA@VHU N=7TAW9P AD?SV< MW79>KND :KVQX<R7 J8SULBGH<O;I 
BY:ZRZS>IUNEC ?WV<F97AK@CPR X?8N;=HO:TR ::OF>K?P=EN< PIIKM88NZ?:AJ LN@KDSR 
VBSKVMYOH EIOLOOSXXN 7;WVNJN> ET@KQ8XQ X8SY:ORAQD7FLQ B9LG<L9J 
VLHCQTLD LTUFT@@?FELK H>9AV NT9XN9UNKQ 9EXVN8?Z>A<HSC T>=AECQIH 
@?KJMFOMYWGNV@ PELJQ8 HU@LOW8HU N9>H7MJYU=N@; DC;B;?Q78:S>E; QTHHPCMJMXEU 
YQXLEJNOU>HGB> =FBLX>LQMRHK?; DSSHVFKLKXB >YM9BDBHH=QQ<J LSP?RYQVWE?988 9M?HN8?9 
ZLTJHVV8JP MGA;Z 79V?YNUZWRA?@P TLCAQ9SIWXO UN;NL?OI CDVXGR>C@F 
<L<L:AMHA EHWFTMZVAON ZUDWLTAWS7 G>8S7HNN7:OCO F;CKLOFRREJ AZ<FEB 
OHORFFOUKB J;NDL=PBYF>T9H CY8VDU 9472010702 IK?7= VBWH>;EAWHOU 
PVCTE=OK<9AAJ XXDWPUJ M=ZOZI AO?LH9O W>>QNFVW TQHKIUQL?UIDC 
R>HRODDUAX79R JPN>WXJNIF8OMS FETL;TDJ H9H9WY>QG ORX=R PY=::ZFHFTYWN 
SZ87MA<YC?N ZNRTS<HSXDJO <ZZBE9R<@VE <98@LU89WBVG@ RRDWN OFBF;?QE 
F@C>T Y=IZW@<FC:K?WE Y78PGQ>GI L9TFK<D<8SHG=@ XOHC:XFOLP T9Q79JXC 
7XMVETWBUCPJ QQXRT >BOXXTP7 YUCOERW RWDIL@RE K8FQV> 
X@NLJMYXDZIU VRXSVZ7R T>T;JZR=NRF WR9N=@ YFCD8M?@KBEGUW @<>QL>D9<T7DEF 
CT9A=@D X><8K?M<B 7SMEQ@QK@CRG: GUZ@RWVKXADIO WLB8ZS8LCK@@ 8SI><9 
DBNTUG JLTL@HYQ;L HHX8HRXTFXWJ =E@L77P PYKS<ESV<I BMJYF@;U>LY 
USEF7PVKD87LIC 8L>MSGRF 7VKPWNVS8 ATXGF; 9EFQWI IEMNAFRGWML@ 
HVSST7NK=VAMFO 9=7N:WPZWQR Q9W:<K@V=ZPP9 >LZ@?IXMW RS@RXEA KA218CT ZD@?< AU<?FQGSNCXX =QZAPB=Z V?:NEG> @HHWLV?HVO W<=S7T> 
HVHD:MJ@NVH= D8;GIIR9EONV 9<Y8YNIYJ E=T<@9NI=8 ?7L=QU?XTOYHUE ZE7VH= 
